Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture
Fishing Tools,Wire Grab,"2-7/8"" Tubing",2.195,"15/16"" SR",N/A,2.2,13.2,Yes
Fishing Tools,Wire Grab,"3-1/2"" Tubing",2.72,"1-1/16"" SR",N/A,2.2,13.2,Yes
Fishing Tools,Wire Grab,"4-1/2"" Tubing",3.6,"1-1/16"" SR",N/A,2.2,22,Yes
Fishing Tools,Wire Grab,"5"" Tubing",3.8,"1-9/16"" SR",N/A,2.2,22,Yes
Fishing Tools,Wire Grab,"5-1/2"" Tubing",4.53,"1-9/16"" SR",N/A,2.2,22,Yes
Fishing Tools,Wire Grab,"6"" Tubing",6,"1-9/16"" SR",N/A,2.2,22,Yes
Fishing Tools,Wire Grab,"5-1/2"" Tubing",4.5,"1-9/16"" SR",N/A,2.2,22,Yes
Fishing Tools,Alligator Grab,TBC,,,N/A,3,0,Yes
Fishing Tools,Tubing Broach,TBC,,,N/A,1,0,Yes
Fishing Tools,Tubing Swage,"2.62""",2.62,"1-1/16"" SR",N/A,0.8,5,Yes
Fishing Tools,Tubing Swage,"2.72""",2.72,"1-1/16"" SR",N/A,0.8,5,Yes
Fishing Tools,Tubing Swage,"2.78""",2.78,"1-1/16"" SR",N/A,0.8,5,Yes
Fishing Tools,Tubing Swage,"3.10""",3.1,"1-1/16"" SR",N/A,1,7,Yes
Fishing Tools,Tubing Swage,"3.75""",3.75,"1-1/16"" SR",N/A,1,11,Yes
Fishing Tools,Tubing Swage,"4.10""",4.1,"1-1/16"" SR",N/A,1,13,Yes
Fishing Tools,Tubing Swage,"4.50""",4.5,"1-1/16"" SR",N/A,1,16,Yes
Fishing Tools,Go-Devil,TBC,,N/A,N/A,,0,Yes
Paradigm Tools,Cable Head,"1-11/16""",1.688,N/A,Sondex,1,5,Yes
Paradigm Tools,PCH,"1-11/16""",1.688,Sondex,ParaComm Pin,1.8,7.9,Yes
Paradigm Tools,PPU Iia,"1-11/16""",1.688,ParaComm Box,ParaComm Pin,3.7,12.1,Yes
